,gene,SRR1222460,SRR1222455,SRR1222450,SRR1222448,SRR1222456
72057,TraesCS5D02G100300,8.87415,3.4946,5.62453,1.34395,0.0
72058,TraesCS5D02G100400,29.1302,12.6802,17.0,20.1062,50.4805
72059,TraesCS5D02G100500,53.5793,112.369,149.699,123.337,34.5778
72060,TraesCS5D02G100600,230.527,186.835,272.334,275.034,326.663
72061,TraesCS5D02G100700,1011.16,361.596,341.497,316.893,780.829
72062,TraesCS5D02G100800,28.2029,103.2103,96.4657,62.601,34.9824
72064,TraesCS5D02G101000,10.6025,15.7873,19.8947,17.9582,27.3114
72065,TraesCS5D02G101100,3.75338,7.65943,9.10279,8.69272,4.22315
72066,TraesCS5D02G101200,44.9618,12.667,20.9433,9.13775,27.1681
72067,TraesCS5D02G101300,184.933,189.646,241.135,264.538,348.203
72068,TraesCS5D02G101400,2.83648,6.55123,3.63827,6.63559,4.49723
72070,TraesCS5D02G101600,166.079,112.683,78.8137,219.883,193.555
72073,TraesCS5D02G101900,99.193,121.5277,68.9856,91.0768,82.01169999999999
72074,TraesCS5D02G102000,2.0,9.0,9.0,7.46788,2.0
72075,TraesCS5D02G102100,5.38168,5.03901,10.8378,31.557,8.07771
72076,TraesCS5D02G102200,16.21,33.9643,48.2943,64.131,18.9169
72077,TraesCS5D02G102300,14.7669,44.2603,20.1006,34.5814,23.083
72078,TraesCS5D02G102400,14.25049,39.2725,26.9515,53.07640000000001,35.050200000000004
72079,TraesCS5D02G102500,3.0,6.0,6.0,4.0,1.0
72083,TraesCS5D02G102900,38.8356,44.8941,63.5145,43.7353,39.1101
72085,TraesCS5D02G103100,2.02344,3.45513,6.66145,4.67525,4.21938
72086,TraesCS5D02G103200,4.0,28.1723,17.5854,50.6681,42.1534
72087,TraesCS5D02G103300,55.89457528,149.81476,140.9971510262,130.69595,19.448572705
72089,TraesCS5D02G103500,5.5491,2.41009,0.0,10.398,8.50212
72090,TraesCS5D02G103600,30.2761,60.8799,58.7158,70.1399,29.1926
72091,TraesCS5D02G103700,20.68886,21.889,40.6898,54.30422,8.024597
72093,TraesCS5D02G103900,106.90239657073,57.5725800643431,68.53830095076201,65.999822972672,65.97660700515
72095,TraesCS5D02G104200,76.4073,28.909,26.2016,55.5588,98.4702
72099,TraesCS5D02G104600,62.6903,31.7773,36.4874,41.592265,52.7816
72100,TraesCS5D02G104700,63.674401244013,178.629,199.821462678902,192.01768326,47.21313
72102,TraesCS5D02G104900,6.73819,12.5673,21.9192,25.0948,3.95076
72103,TraesCS5D02G105000,1.393046731,13.04457207,25.58595232,17.909446770000002,5.41132834
72104,TraesCS5D02G105100,0.0,10.986,20.8865,17.1831,2.97412
72105,TraesCS5D02G105200,4.0,7.86589,0.0,9.09945,0.0
72106,TraesCS5D02G105300,63.0158,37.2052,9.63441,33.5552,93.2559
72107,TraesCS5D02G105400,68.9512,44.644,37.7177,67.7677,63.8582
72108,TraesCS5D02G105500,21.77166,57.67640507,39.526,58.4208,18.5058
72109,TraesCS5D02G105600,16.72694,26.595080000000003,53.7223451289,46.222990425616,13.5358
72110,TraesCS5D02G105700,3.0,4.0,2.74027,4.01804,5.0
72111,TraesCS5D02G105800,9.88568,14.3514,29.4756,21.5326,15.4765
72112,TraesCS5D02G105900,9.62055,11.9629,9.05277,3.0,9.88155
72113,TraesCS5D02G106000,5.74359,31.3634,55.2701,47.6487,13.9109
72115,TraesCS5D02G106200,21.5359,11.9751,18.5177,28.708,30.8344
72116,TraesCS5D02G106300,47.0783,110.374,99.5795,106.713,39.6768
72117,TraesCS5D02G106400,18.5003,37.2275,42.3055,51.7145,14.2018
72119,TraesCS5D02G106600,143.489,332.318,370.62,319.841,110.414
72120,TraesCS5D02G106700,23.4785,59.7448,40.8536,60.2601,14.6414
72129,TraesCS5D02G107600,24.402,26.9027,47.8505,54.6286,29.8659
72130,TraesCS5D02G107800,51.2852,63.9841,107.5130161307,86.89740976485001,36.8161
72131,TraesCS5D02G107900,13.2368,0.0,5.56112,0.0,0.0
72132,TraesCS5D02G108000,18.4725,25.0047,25.2502,44.5258,17.8392
72135,TraesCS5D02G108400,2.77887,15.5116,12.3752,25.7927,2.803270022647
72136,TraesCS5D02G108500,62.9284,98.4301,107.712,120.807,83.2743
72137,TraesCS5D02G108600,35.2056,74.6859,60.0522,57.392,49.7002
72138,TraesCS5D02G108700,113.557,73.6017,57.4044,124.287,90.6741
72142,TraesCS5D02G109100,10.2203,54.8604,72.9379,36.7242,11.0676
72143,TraesCS5D02G109200,63.1762,70.70363,121.33624,96.643,59.93402
72145,TraesCS5D02G109400,23.8667,53.5978,75.6987,100.164,30.2501
72146,TraesCS5D02G109500,21.5966,57.1401,97.5128,63.7592,35.2083
72147,TraesCS5D02G109600,18.2669,30.3927,35.3714,55.6632,15.9221
72148,TraesCS5D02G109700,2.20591,16.8194,7.91517,27.3267,12.5455
